datetime,Uwind_meterPerSecond,Vwind_meterPerSecond,Surface_Level_Barometric_Pressure_pascal,Air_Temperature_celsius,Relative_Humidity_percent,Precipitation_meterPerSecond,Longwave_Radiation_Downwelling_wattPerMeterSquared,Shortwave_Radiation_Downwelling_wattPerMeterSquared
1996-06-17,1.13422763347626,2.79923248291016,100611.65625,11.517114257812,74.0140228271484,6.60285440972075e-08,313.578094482422,209.8046875
1996-06-18,0.35853511095047,-2.89260792732239,99798.03125,7.628747558594,91.107666015625,9.23327461350709e-08,310.197326660156,173.583145141602
1996-06-19,0.0919974148273468,-4.91392278671265,99854.3125,9.88686523437502,65.6677093505859,1.0505857062526e-08,308.357879638672,238.369689941406
1996-06-20,-0.344289273023605,-3.24915742874146,99667.4375,8.17604980468803,60.6786689758301,1.04882010418805e-08,308.675811767578,190.143859863281
1996-06-21,-0.793066322803497,-1.64863288402557,99898.4453125,8.49230346679701,83.4024124145508,5.28275595570449e-08,314.906951904297,183.985855102539
1996-06-22,0.219343736767769,-2.90922164916992,100404.421875,11.291192626953,66.6802139282227,1.62690739671234e-08,306.718688964844,243.542083740234
1996-06-23,-0.0371924825012684,-1.49607348442078,101312.90625,11.827294921875,74.3974075317383,1.94545900740195e-08,309.222076416016,239.961380004883
1996-06-24,0.0560012273490429,-0.716422080993652,101690.46875,12.675653076172,78.9752655029297,8.01557616796345e-08,309.001647949219,258.574981689453
1996-06-25,0.0576143749058247,0.349566966295242,101850.4921875,13.566278076172,74.5210647583008,1.75945615410456e-09,309.341278076172,272.292266845703
1996-06-26,0.808141767978668,1.56098830699921,101365.2578125,15.310540771484,64.1333923339844,0,321.933898925781,282.836456298828
1996-06-27,0.261700302362442,-1.62094295024872,101155.1328125,14.445489501953,62.0495834350586,0,307.703247070312,290.888092041016
1996-06-28,-1.01863014698029,1.15999031066895,101124.9140625,10.955560302734,89.2474670410156,3.76061616407242e-08,325.585479736328,108.425170898438
1996-06-29,-0.219385743141174,2.06311440467834,100374.125,11.3470703125,71.1734008789062,3.06433162222675e-09,317.674041748047,228.606826782227
1996-06-30,-0.159975901246071,2.07789850234985,99814.9140625,9.52874145507803,93.6171951293945,6.63952159811743e-08,337.065155029297,62.8529624938965
1996-07-01,-1.00088548660278,0.75042051076889,99065.9765625,10.263452148438,97.7311782836914,1.54202556586824e-07,335.863342285156,93.3315887451172
1996-07-02,0.416562259197235,0.201486200094223,98946.6875,8.81972656250002,96.7207336425781,1.38110044645146e-07,331.177490234375,68.6069869995117
1996-07-03,2.10100865364075,-0.535691261291504,99693.1640625,9.22179565429701,78.4944229125977,3.46502820320893e-08,322.662384033203,161.236480712891
1996-07-04,-1.61669218540192,1.67059206962585,99795.2265625,8.57750854492201,91.6423721313477,1.74810527823865e-07,332.385620117188,49.8121109008789
1996-07-05,0.773482203483582,2.70908379554749,99573.2734375,9.00289306640605,90.5715866088867,8.96713754627854e-08,322.196105957031,151.444763183594
1996-07-06,0.88266909122467,0.878997921943665,99709.53125,9.824700927734,66.2117004394531,2.13417160921381e-09,304.651275634766,244.818756103516
1996-07-07,0.70808070898056,1.83360135555267,99929.90625,9.32970581054701,78.6640625,5.05616953887511e-08,312.898315429688,205.998550415039
1996-07-08,-0.530538439750671,1.63543796539307,100746.6171875,9.92363891601605,79.6679306030273,1.68027181643993e-08,317.793426513672,205.6904296875
1996-07-09,-0.681528866291046,-2.30336666107178,101048.7109375,13.203576660156,60.3270874023438,0,306.088348388672,276.140625
1996-07-10,1.56973075866699,-2.68201994895935,100640.390625,15.827386474609,48.5406761169434,0,305.380340576172,305.113189697266
1996-07-11,2.94528293609619,-0.368781358003616,100669.59375,14.50087890625,61.9592094421387,0,322.824340820312,222.719314575195
1996-07-12,1.04555070400238,-2.17478919029236,100837.0625,14.603570556641,52.4141082763672,0,301.886596679688,295.036468505859
1996-07-13,1.35748696327209,1.79425764083862,100621.5859375,11.943231201172,67.1344604492188,1.19385422294727e-08,328.449920654297,107.600135803223
1996-07-14,5.86788749694824,-0.769538521766663,100714.140625,11.204064941406,60.0926551818848,0,303.992553710938,231.909255981445
1996-07-15,3.70576572418213,-3.61081171035767,101550.203125,10.984979248047,53.7265739440918,0,286.682525634766,285.011291503906
1996-07-16,2.83793950080872,-4.30373334884644,102253.59375,12.012445068359,48.1688919067383,0,292.456420898438,282.637847900391
1996-07-17,1.80225419998169,-3.72653150558472,101918.8515625,11.589929199219,48.670093536377,0,300.467895507812,250.630310058594
1996-07-18,-1.28138840198517,-2.47605514526367,102252.234375,11.090203857422,48.9577751159668,0,279.802856445312,294.019622802734
1996-07-19,1.36098980903625,1.43380725383759,102410.7109375,14.086541748047,47.8261909484863,0,309.504180908203,249.54443359375
1996-07-20,0.316547244787216,0.489653825759888,102220.984375,14.552087402344,55.1844253540039,1.92811603483278e-09,320.386993408203,212.947235107422
1996-07-21,-0.0803786888718605,1.52785670757294,102231.484375,14.370568847656,60.1329727172852,3.56473356077913e-09,324.618225097656,203.873657226562
1996-07-22,1.0587785243988,1.65099251270294,102010.703125,15.178582763672,62.9909858703613,0,336.071350097656,186.361526489258
1996-07-23,0.450207859277725,2.73171734809875,101345.3828125,15.421990966797,64.0391845703125,1.96184882952366e-08,331.143432617188,193.745407104492
1996-07-24,-0.0606061406433582,0.941167831420898,100926.140625,16.430596923828,57.8155212402344,0,318.529235839844,246.028701782227
