year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2009,6.2371,364,6.2371,364,6.2371,364,6.2371,364,NA,NA,NA,NA,NA,NA,NA,p0027,FLake
2010,25.492,171,4.6797,31,9.6464,322,4.6306,30,232,232,232,82,314,82,314,p0027,FLake
2011,24.471,193,4.0363,29,4.9031,0,3.97999999999997,229,269,269,269,73,342,73,342,p0027,FLake
2012,25.173,223,5.6149,3,7.553,336,4.2768,0,263,263,263,62,325,62,325,p0027,FLake
2013,28.61,200,5.4386,27,9.3485,324,5.3963,27,231,116.5,233,85,316,77,316,p0027,FLake
2014,26.318,206,5.878,44,9.9332,325,5.8459,46,239,239,239,77,316,77,316,p0027,FLake
2009,4.5756,364,4.5756,364,4.5756,364,4.5756,364,NA,NA,NA,NA,NA,NA,NA,p0028,FLake
2010,19.709,176,2.0781,360,4.6023,340,3.8175,358,226,226,226,100,326,100,326,p0028,FLake
2011,18.831,215,0.90008,28,4.1964,77,3.9258,2,241,241,241,98,339,98,339,p0028,FLake
2012,20.442,232,4.7129,33,6.2184,336,4.1552,0,232,232,232,83,315,83,315,p0028,FLake
2013,22.531,202,4.1846,36,7.9347,325,4.1448,36,199,199,199,114,313,114,313,p0028,FLake
2014,21.149,206,4.7069,44,7.1926,335,4.6591,46,226,226,226,94,320,94,320,p0028,FLake
2009,4.1843,364,4.1843,364,4.1843,364,4.1843,364,NA,NA,NA,NA,NA,NA,NA,p0029,FLake
2010,18.376,195,0.98768,357,6.1248,331,3.49,72,215,215,215,101,316,101,316,p0029,FLake
2011,17.889,193,0.10274,10,6.8755,340,3.355,50,230,230,230,98,328,98,328,p0029,FLake
2012,18.29,226,5.1527,33,8.3897,307,5.1527,33,191,97.5,195,108,299,103,299,p0029,FLake
2013,21.656,202,4.3372,27,7.5486,322,4.3035,56,190,190,190,119,309,119,309,p0029,FLake
2014,19.567,205,4.372,46,7.3376,330,4.3668,47,217,217,217,99,316,99,316,p0029,FLake
2009,3.8736,364,3.8736,364,3.8736,364,3.8736,364,NA,NA,NA,NA,NA,NA,NA,p0030,FLake
2010,16.478,209,0.37833,15,4.8788,334,3.1722,77,195,98,196,123,318,115,318,p0030,FLake
2011,15.706,213,0,5,6.2088,342,3.8401,80,219,219,219,109,328,109,328,p0030,FLake
2012,16.717,232,4.7552,361,6.8113,321,4.7552,361,179,179,179,121,300,121,300,p0030,FLake
2013,19.157,208,3.7149,56,6.2068,328,3.7149,56,181,91.5,183,129,310,126,310,p0030,FLake
2014,17.226,206,3.9094,46,6.3907,336,3.9094,46,209,105,210,108,317,104,317,p0030,FLake
2009,4.7951,364,4.7951,364,4.7951,364,4.7951,364,NA,NA,NA,NA,NA,NA,NA,p0031,FLake
2010,22.11,171,2.7682,361,8.6561,322,3.2851,13,214,214,214,100,314,100,314,p0031,FLake
2011,22.408,193,2.7077,10,7.9511,338,3.606,18,251,251,251,79,330,79,330,p0031,FLake
2012,21.746,226,5.8988,33,11.855,294,5.8988,33,186,186,186,101,287,101,287,p0031,FLake
2013,26.088,200,5.2373,27,11.368,304,5.2373,27,188,188,188,113,301,113,301,p0031,FLake
2014,23.435,205,5.2045,44,9.5255,318,5.2045,44,223,223,223,88,311,88,311,p0031,FLake
2009,4.1477,364,4.1477,364,4.1477,364,4.1477,364,NA,NA,NA,NA,NA,NA,NA,p0032,FLake
2010,17.957,206,1.4357,45,4.8431,339,3.8432,69,212,212,212,114,326,114,326,p0032,FLake
2011,16.908,215,0.56754,28,4.1544,364,3.9295,2,228,228,228,109,337,109,337,p0032,FLake
2012,18.923,232,4.368,33,5.8711,334,4.1574,0,210,54,216,99,309,83,309,p0032,FLake
2013,19.207,208,3.4622,37,5.2937,104,3.6968,56,205,205,205,123,328,123,328,p0032,FLake
2014,19.009,206,4.07,46,6.0913,341,4.0301,46,221,221,221,99,320,99,320,p0032,FLake
2009,4.3964,364,4.3964,364,4.3964,364,4.3964,364,NA,NA,NA,NA,NA,NA,NA,p0033,FLake
2010,19.564,176,1.7486,15,5.0517,335,3.8426,358,224,224,224,100,324,100,324,p0033,FLake
2011,18.749,193,0.5524,28,4.574,364,3.9044,2,239,239,239,97,336,97,336,p0033,FLake
2012,20.165,226,4.6403,33,6.7837,330,4.5759,0,224,224,224,83,307,83,307,p0033,FLake
2013,22.52,208,4.3214,36,6.5248,105,3.97999999999997,239,210,210,210,114,324,114,324,p0033,FLake
2014,21.086,205,4.2634,44,7.0296,335,4.2311,46,226,226,226,93,319,93,319,p0033,FLake
2009,4.5038,364,4.5038,364,4.5038,364,4.5038,364,NA,NA,NA,NA,NA,NA,NA,p0034,FLake
2010,20.244,167,2.1879,362,7.3219,328,3.5139,42,217,217,217,97,314,97,314,p0034,FLake
2011,20.723,193,1.9108,10,7.6702,338,3.534,34,247,247,247,83,330,83,330,p0034,FLake
2012,20.273,226,5.6332,33,11.801,132,5.6332,33,148,148,148,141,289,141,289,p0034,FLake
2013,23.648,200,4.9225,27,10.044,307,4.9225,27,187,187,187,116,303,116,303,p0034,FLake
2014,21.826,205,4.8524,44,8.7912,322,4.8469,47,220,220,220,92,312,92,312,p0034,FLake
2009,5.4795,364,5.4795,364,5.4795,364,5.4795,364,NA,NA,NA,NA,NA,NA,NA,p0035,FLake
2010,23.859,171,4.03,13,8.8675,324,4.0147,15,228,228,228,86,314,86,314,p0035,FLake
2011,23.502,193,3.3809,31,5.5458,364,3.8648,28,261,261,261,76,337,76,337,p0035,FLake
2012,23.649,222,5.4471,33,8.7547,323,5.4471,33,234,234,234,74,308,74,308,p0035,FLake
2013,27.511,200,5.2818,27,7.7689,94,3.97999999999996,212,238,238,238,100,338,100,338,p0035,FLake
2014,25.198,205,5.0163,44,9.1,325,4.4992,0,232,232,232,84,316,84,316,p0035,FLake
2009,4.6893,364,4.6893,364,4.6893,364,4.6893,364,NA,NA,NA,NA,NA,NA,NA,p0036,FLake
2010,20.727,176,2.3983,360,4.6316,342,3.8999,358,231,231,231,98,329,98,329,p0036,FLake
2011,20.348,193,1.3436,28,5.3532,357,3.9194,2,242,242,242,95,337,95,337,p0036,FLake
2012,21.412,226,4.9029,33,5.5077,347,4.49980000000001,189,242,242,242,83,325,83,325,p0036,FLake
2013,23.544,202,4.2841,36,7.6483,332,4.2378,36,212,212,212,107,319,107,319,p0036,FLake
2014,22.276,206,4.8512,44,7.6747,333,4.8086,46,229,229,229,90,319,90,319,p0036,FLake
2009,4.1745,364,4.1745,364,4.1745,364,4.1745,364,NA,NA,NA,NA,NA,NA,NA,p0037,FLake
2010,17.704,195,0.75118,357,6.937,326,3.7541,77,202,202,202,112,314,112,314,p0037,FLake
2011,16.635,193,0,2,7.4747,337,3.4375,50,225,114,228,102,327,98,327,p0037,FLake
2012,17.085,232,5.2139,33,9.7355,296,5.2139,33,141,141,141,144,285,144,285,p0037,FLake
2013,20.359,208,4.1706,56,7.2797,322,4.1171,56,184,184,184,124,308,124,308,p0037,FLake
2014,18.087,206,4.2301,46,7.5892,327,4.2247,48,206,206,206,107,313,107,313,p0037,FLake
2009,3.9945,364,3.9945,364,3.9945,364,3.9945,364,NA,NA,NA,NA,NA,NA,NA,p0038,FLake
2010,17.654,206,1.1698,45,4.727,336,3.7463,358,209,209,209,113,322,113,322,p0038,FLake
2011,16.657,215,0.12028,28,4.2107,364,3.9392,2,225,225,225,109,334,109,334,p0038,FLake
2012,18.612,232,4.2159,33,5.4487,338,4.12569999999999,92,204,204,204,105,309,105,309,p0038,FLake
2013,18.994,208,3.1914,37,4.9329,102,3.8412,70,200,200,200,124,324,124,324,p0038,FLake
2014,18.699,206,3.94,46,5.9295,341,3.9636,46,217,217,217,102,319,102,319,p0038,FLake
2009,5.4694,364,5.4694,364,5.4694,364,5.4694,364,NA,NA,NA,NA,NA,NA,NA,p0039,FLake
2010,23.418,176,2.7779,360,5.4703,74,3.9753,354,242,242,242,89,331,89,331,p0039,FLake
2011,22.963,193,2.084,31,6.4903,346,3.8997,21,254,254,254,82,336,82,336,p0039,FLake
2012,23.365,226,5.4528,33,8.3912,327,5.443,34,237,237,237,76,313,76,313,p0039,FLake
2013,26.951,200,5.228,36,7.5592,94,3.97999999999997,237,241,241,241,100,341,100,341,p0039,FLake
2014,24.794,205,4.8894,31,8.7978,327,4.4461,0,232,232,232,85,317,85,317,p0039,FLake
2009,4.7072,364,4.7072,364,4.7072,364,4.7072,364,NA,NA,NA,NA,NA,NA,NA,p0040,FLake
2010,21.006,167,1.9225,363,8.9503,315,3.0504,13,216,216,216,97,313,97,313,p0040,FLake
2011,20.896,193,1.7368,0,9.7575,326,3.5113,33,218,218,218,91,309,91,309,p0040,FLake
2012,20.407,226,5.7679,33,13.436,273,5.7679,33,128,128,128,141,269,141,269,p0040,FLake
2013,24.564,200,5.0217,27,12.839,296,5.0217,27,149,149,149,140,289,140,289,p0040,FLake
2014,22.087,205,4.9619,44,10.194,311,4.9589,47,208,208,208,98,306,98,306,p0040,FLake
2009,3.94,364,3.94,364,3.94,364,3.94,364,NA,NA,NA,NA,NA,NA,NA,p0041,FLake
2010,16.697,195,0,357,7.6935,315,3.3243,77,186,93.5,187,126,312,115,312,p0041,FLake
